City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,13.8,scattered clouds,2021-06-06 14:31:46
60,Cherskiy,RU,68.75,161.3,59.22,50,19,10.98,few clouds,2021-06-06 14:31:46
61,Barrow,US,71.2906,-156.7887,30.22,93,90,12.66,mist,2021-06-06 14:31:47
62,Klaksvik,FO,62.2266,-6.589,49.12,90,100,18.34,overcast clouds,2021-06-06 14:31:47
63,Chokurdakh,RU,70.6333,147.9167,34.09,93,100,8.12,light rain,2021-06-06 14:31:47
64,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,40,10.38,scattered clouds,2021-06-06 14:31:48
65,Bandarbeyla,SO,9.4942,50.8122,81.36,77,5,29.39,clear sky,2021-06-06 14:31:48
66,Shebunino,RU,46.4339,141.8603,50.79,99,97,2.68,overcast clouds,2021-06-06 14:31:48
67,Tasiilaq,GL,65.6145,-37.6368,41.16,92,96,2.53,overcast clouds,2021-06-06 14:31:49
68,Omboue,GA,-1.5746,9.2618,81.28,78,100,8.77,light rain,2021-06-06 14:31:49
69,Salalah,OM,17.0151,54.0924,87.89,79,40,12.66,scattered clouds,2021-06-06 14:31:49
70,Avarua,CK,-21.2078,-159.775,68.05,77,20,2.3,few clouds,2021-06-06 14:31:50
71,Necochea,AR,-38.5473,-58.7368,53.04,55,20,8.34,few clouds,2021-06-06 14:31:50
72,Longhua,CN,23.6137,114.1919,79.27,72,72,1.54,broken clouds,2021-06-06 14:31:50
73,Gambo,CF,4.6482,22.2633,73.18,86,100,3.96,overcast clouds,2021-06-06 14:31:51
74,Busselton,AU,-33.65,115.3333,53.1,76,24,8.97,few clouds,2021-06-06 14:31:51
75,Rovaniemi,FI,66.5,25.7167,69.21,26,0,8.05,clear sky,2021-06-06 14:31:51
76,Isangel,VU,-19.55,169.2667,72.01,68,100,12.66,overcast clouds,2021-06-06 14:31:52
77,Carnarvon,AU,-24.8667,113.6333,66.27,63,100,10.36,overcast clouds,2021-06-06 14:31:52
78,Pevek,RU,69.7008,170.3133,45.86,78,35,11.16,scattered clouds,2021-06-06 14:31:52
79,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,90,6.91,overcast clouds,2021-06-06 14:31:53
80,Zhanaozen,KZ,43.3,52.8,76.66,46,84,13.02,broken clouds,2021-06-06 14:31:53
81,Nikolskoye,RU,59.7035,30.7861,76.89,36,10,6.46,clear sky,2021-06-06 14:31:53
82,Okato,NZ,-39.2,173.8833,54.43,91,100,11.97,moderate rain,2021-06-06 14:31:54
83,Medeiros Neto,BR,-17.3739,-40.2206,81.21,59,49,8.86,scattered clouds,2021-06-06 14:31:54
84,Ayan,RU,56.45,138.1667,40.35,91,93,7.14,overcast clouds,2021-06-06 14:31:54
85,Pisco,PE,-13.7,-76.2167,62.65,88,90,8.05,mist,2021-06-06 14:31:55
86,Lebu,CL,-37.6167,-73.65,49.12,74,100,2.84,overcast clouds,2021-06-06 14:31:55
87,Bolobo,CD,-2.1667,16.2333,84.27,57,58,4.54,broken clouds,2021-06-06 14:31:56
88,Baijiantan,CN,45.6333,85.1833,72.45,21,7,10.78,clear sky,2021-06-06 14:31:56
89,Humboldt,US,40.6665,-123.9178,45.12,80,87,4.76,overcast clouds,2021-06-06 14:31:56
90,Nantucket,US,41.2835,-70.0995,87.91,89,9,12.28,clear sky,2021-06-06 14:31:56
91,Evensk,RU,61.95,159.2333,47.43,80,96,6.98,overcast clouds,2021-06-06 14:31:57
92,Maniwaki,CA,46.3834,-75.966,75.74,68,58,4.81,broken clouds,2021-06-06 14:28:04
93,Port Hedland,AU,-20.3167,118.5667,71.65,68,99,5.75,overcast clouds,2021-06-06 14:31:57
94,Olinda,BR,-8.0089,-34.8553,78.53,69,75,12.91,broken clouds,2021-06-06 14:31:57
95,Hasaki,JP,35.7333,140.8333,68.29,90,100,7.67,overcast clouds,2021-06-06 14:31:58
96,Poum,NC,-20.2333,164.0167,72.5,60,91,19.84,overcast clouds,2021-06-06 14:31:58
97,Olavarria,AR,-36.8927,-60.3225,50.68,47,65,6.55,broken clouds,2021-06-06 14:31:58
